Place_Name,State_Name,Language spoken at home (Spanish) (DP02_0116E),Language spoken at home (Spanish) - Percent (DP02_0116PE),FIPS_Place,FIPS_State
Bermuda Dunes CDP,California,1298,20.6,06028,06
Berry Creek CDP,California,20,1.6,06070,06
Bertsch-Oceanview CDP,California,323,16.6,06150,06
Bethel Island CDP,California,354,18.3,06210,06
Beverly Hills city,California,2347,7.2,06308,06
Bieber CDP,California,0,0.0,06336,06
Big Bear City CDP,California,1127,9.6,06406,06
Big Bear Lake city,California,867,17.3,06434,06
Big Bend CDP,California,0,0.0,06475,06
Big Creek CDP,California,0,0.0,06518,06
Biggs city,California,740,29.5,06560,06
Big Lagoon CDP,California,0,0.0,06567,06
Big Pine CDP,California,55,4.1,06616,06
Big River CDP,California,109,9.9,06635,06
Biola CDP,California,794,59.4,06728,06
Bishop city,California,35,1.0,06798,06
Blackhawk CDP,California,229,2.2,06928,06
Blacklake CDP,California,0,0.0,06935,06
Black Point-Green Point CDP,California,66,3.9,06982,06
Blairsden CDP,California,0,-666666666.0,06994,06
Mountain Meadows CDP,California,0,0.0,49592,06
Mountain Mesa CDP,California,0,0.0,49600,06
Mountain Ranch CDP,California,0,0.0,49628,06
Mountain View CDP,California,28,1.7,49651,06
Mountain View city,California,10933,14.6,49670,06
Mountain View Acres CDP,California,1713,51.5,49684,06
Mt. Bullion CDP,California,0,0.0,49726,06
Mount Hebron CDP,California,49,80.3,49768,06
Mount Hermon CDP,California,169,13.6,49796,06
Mount Laguna CDP,California,0,0.0,49810,06
Mount Shasta city,California,57,1.8,49852,06
Muir Beach CDP,California,11,3.6,49950,06
Murphys CDP,California,58,3.0,50034,06
Murrieta city,California,15324,14.4,50076,06
Muscoy CDP,California,8041,78.2,50132,06
Myers Flat CDP,California,0,0.0,50146,06
Myrtletown CDP,California,593,11.8,50188,06
Napa city,California,23250,31.4,50258,06
National City city,California,30537,52.4,50398,06
Needles city,California,342,7.3,50734,06
Nevada City city,California,60,2.0,50874,06
Newark city,California,9971,22.1,50916,06
Newcastle CDP,California,21,1.6,51000,06
New Cuyama CDP,California,179,34.4,51028,06
Newell CDP,California,259,59.5,51042,06
Newman city,California,5572,52.5,51140,06
New Pine Creek CDP,California,0,0.0,51168,06
Newport Beach city,California,4262,5.1,51182,06
Nicasio CDP,California,0,0.0,51280,06
Nice CDP,California,62,2.8,51294,06
Nicolaus CDP,California,14,11.9,51336,06
Niland CDP,California,146,23.8,51392,06
Nipinnawasee CDP,California,0,0.0,51470,06
Nipomo CDP,California,5335,30.7,51476,06
Norco city,California,5461,21.0,51560,06
Nord CDP,California,0,0.0,51574,06
Norris Canyon CDP,California,27,3.5,51622,06
North Auburn CDP,California,2164,15.7,51637,06
North Edwards CDP,California,129,14.2,51812,06
North El Monte CDP,California,706,20.1,51820,06
North Fair Oaks CDP,California,9266,67.8,51840,06
North Fork CDP,California,128,4.1,51868,06
North Gate CDP,California,48,7.2,51890,06
North Highlands CDP,California,8107,18.2,51924,06
North Lakeport CDP,California,327,11.6,51990,06
North Richmond CDP,California,2382,59.4,52162,06
North San Juan CDP,California,0,0.0,52246,06
North Shore CDP,California,2333,91.2,52302,06
North Tustin CDP,California,3115,12.8,52379,06
Norwalk city,California,49635,51.1,52526,06
Novato city,California,8127,15.8,52582,06
Nubieber CDP,California,0,0.0,52610,06
Nuevo CDP,California,2903,44.4,52624,06
Oakdale city,California,3942,18.7,52694,06
Oak Glen CDP,California,2,0.7,52715,06
