submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
05/08/2021,NC,968862,836273,132589,1378,257,13216,11665,1551,14,5,05/08/2021 12:00:00 AM,Agree,Agree
11/04/2020,NC,281995,269547,12448,2494,316,4881,4761,120,31,0,11/04/2020 12:00:00 AM,Agree,Agree
07/31/2021,NC,1043939,893499,150440,3621,722,13859,12218,1641,14,1,07/31/2021 12:00:00 AM,Agree,Agree
03/26/2020,NC,661,661,0,117,0,4,4,0,1,0,03/26/2020 12:00:00 AM,Agree,Agree
03/30/2021,NC,901620,785110,116510,1553,462,12761,11278,1483,9,1,03/30/2021 12:00:00 AM,Agree,Agree
05/05/2022,NC,2677250,2238111,439139,3145,621,25139,21920,3219,6,1,05/05/2022 12:00:00 AM,Agree,Agree
04/13/2020,NC,4833,4833,0,299,0,125,125,0,18,0,04/13/2020 12:00:00 AM,Agree,Agree
03/03/2020,NC,1,1,0,1,0,0,0,0,0,0,03/03/2020 12:00:00 AM,Agree,Agree
07/03/2021,NC,1002235,861068,141167,520,136,13662,12047,1615,5,0,07/03/2021 12:00:00 AM,Agree,Agree
05/07/2022,NC,2683029,2242625,440404,2780,593,25146,21927,3219,2,0,05/07/2022 12:00:00 AM,Agree,Agree
01/19/2022,NC,2189473,1842016,347457,24332,5797,21036,18482,2554,97,12,01/19/2022 12:00:00 AM,Agree,Agree
03/25/2022,NC,2628497,2199263,429234,897,233,24866,21685,3181,8,0,03/25/2022 12:00:00 AM,Agree,Agree
05/29/2020,NC,26722,26721,1,1140,0,949,949,0,19,0,05/29/2020 12:00:00 AM,Agree,Agree
02/10/2022,NC,2552326,2140813,411513,7621,1666,23183,20250,2933,79,12,02/10/2022 12:00:00 AM,Agree,Agree
07/28/2020,NC,116861,116155,706,2028,64,2019,2016,3,32,1,07/28/2020 12:00:00 AM,Agree,Agree
12/04/2020,NC,387025,361826,25199,6062,704,6024,5774,250,44,10,12/04/2020 12:00:00 AM,Agree,Agree
09/16/2020,NC,191206,187248,3958,1388,126,3430,3401,29,23,0,09/16/2020 12:00:00 AM,Agree,Agree
08/21/2022,NC,3097819,2568259,529560,2443,379,26404,22950,3454,18,5,08/21/2022 12:00:00 AM,Agree,Agree
01/20/2022,NC,2225937,1871757,354180,36464,6723,21118,18549,2569,82,15,01/20/2022 12:00:00 AM,Agree,Agree
