submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
08/20/2020,NC,152483,150444,2039,2062,73,2689,2682,7,26,0,08/20/2020 12:00:00 AM,Agree,Agree
10/22/2020,NC,253016,243390,9626,2507,212,4430,4346,84,35,3,10/22/2020 12:00:00 AM,Agree,Agree
07/23/2021,NC,1024980,876059,148921,2276,449,13759,12131,1628,11,1,07/23/2021 12:00:00 AM,Agree,Agree
05/20/2022,NC,2717791,2265378,452413,0,0,24631,21468,3163,0,0,05/21/2022 01:16:11 PM,Agree,Agree
09/10/2021,NC,1285506,1091679,193827,8329,1505,15790,13882,1908,66,12,09/10/2021 12:00:00 AM,Agree,Agree
04/18/2022,NC,2650611,2211604,439007,686,103,24568,21417,3151,1,0,04/18/2022 12:00:00 AM,Agree,Agree
12/13/2021,NC,1568540,1322084,246456,1898,259,19303,16988,2315,16,2,12/13/2021 12:00:00 AM,Agree,Agree
06/09/2020,NC,37556,37550,6,822,1,1147,1147,0,21,0,06/09/2020 12:00:00 AM,Agree,Agree
03/16/2021,NC,880613,767780,112833,1565,622,12587,11130,1457,9,0,03/16/2021 12:00:00 AM,Agree,Agree
01/07/2021,NC,604345,546593,57752,10699,1428,8612,7877,735,104,24,01/07/2021 12:00:00 AM,Agree,Agree
02/10/2022,NC,2557033,2139891,417142,7638,1700,22973,20057,2916,70,11,02/10/2022 12:00:00 AM,Agree,Agree
11/03/2021,NC,1479492,1251725,227767,1881,457,18554,16330,2224,27,4,11/03/2021 12:00:00 AM,Agree,Agree
12/23/2021,NC,1609967,1354943,255024,6978,1239,19573,17234,2339,35,2,12/23/2021 12:00:00 AM,Agree,Agree
12/16/2021,NC,1579485,1330446,249039,4188,829,19386,17063,2323,23,3,12/16/2021 12:00:00 AM,Agree,Agree
12/30/2021,NC,1675532,1409300,266232,19873,3521,19770,17396,2374,23,6,12/30/2021 12:00:00 AM,Agree,Agree
08/26/2020,NC,161858,159367,2491,1405,108,2842,2832,10,30,0,08/26/2020 12:00:00 AM,Agree,Agree
12/23/2020,NC,501332,459673,41659,6893,1294,7277,6803,474,79,20,12/23/2020 12:00:00 AM,Agree,Agree
02/24/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/30/2022,NC,2671406,2228144,443262,2170,413,24596,21440,3156,1,0,04/30/2022 12:00:00 AM,Agree,Agree
06/11/2020,NC,39692,39686,6,1271,0,1172,1172,0,12,0,06/11/2020 12:00:00 AM,Agree,Agree
06/27/2020,NC,60881,60847,34,1748,7,1406,1406,0,15,0,06/27/2020 12:00:00 AM,Agree,Agree
04/24/2020,NC,8192,8192,0,469,0,323,323,0,17,0,05/18/2022 01:20:45 PM,Agree,Agree
08/04/2021,NC,1059765,904080,155685,4189,853,13920,12271,1649,19,2,08/04/2021 12:00:00 AM,Agree,Agree
10/09/2021,NC,1428358,1210770,217588,3407,590,17675,15540,2135,56,7,10/09/2021 12:00:00 AM,Agree,Agree
06/25/2021,NC,1001754,858794,142960,424,156,13622,12010,1612,11,1,06/25/2021 12:00:00 AM,Agree,Agree
08/12/2021,NC,1097848,935055,162793,6658,1164,14101,12425,1676,31,6,08/12/2021 12:00:00 AM,Agree,Agree
05/05/2020,NC,12476,12476,0,316,0,514,514,0,18,0,05/05/2020 12:00:00 AM,Agree,Agree
01/25/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/07/2020,NC,290436,276980,13456,2509,298,4981,4854,127,35,3,11/07/2020 12:00:00 AM,Agree,Agree
10/17/2020,NC,243465,234822,8643,2169,215,4268,4196,72,29,2,10/17/2020 12:00:00 AM,Agree,Agree
12/11/2020,NC,428983,398219,30764,6641,911,6413,6101,312,65,14,12/11/2020 12:00:00 AM,Agree,Agree
04/21/2020,NC,7031,7031,0,218,0,273,273,0,18,0,04/21/2020 12:00:00 AM,Agree,Agree
02/07/2021,NC,796253,703481,92772,3291,395,11445,10164,1281,54,12,02/07/2021 12:00:00 AM,Agree,Agree
07/05/2021,NC,1005934,861825,144109,304,68,13662,12047,1615,3,1,07/05/2021 12:00:00 AM,Agree,Agree
03/31/2020,NC,1427,1427,0,194,0,13,13,0,2,0,03/31/2020 12:00:00 AM,Agree,Agree
04/17/2020,NC,5874,5874,0,393,0,207,207,0,26,0,04/17/2020 12:00:00 AM,Agree,Agree
02/16/2022,NC,2584074,2160567,423507,4611,1289,23407,20411,2996,66,12,02/16/2022 12:00:00 AM,Agree,Agree
01/15/2021,NC,669188,602275,66913,9084,1204,9407,8521,886,101,22,01/15/2021 12:00:00 AM,Agree,Agree
03/15/2020,NC,32,32,0,10,0,1,1,0,0,0,03/15/2020 12:00:00 AM,Agree,Agree
08/12/2020,NC,140628,139127,1501,1355,86,2461,2456,5,29,0,08/12/2020 12:00:00 AM,Agree,Agree
04/13/2020,NC,4831,4831,0,299,0,125,125,0,18,0,04/13/2020 12:00:00 AM,Agree,Agree
